scenario,n,algorithm,comps,assigns,timems
FewUniques,50,HeapBinary,378,406,0.010400
FewUniques,50,HeapTernary,391,300,0.009200
FewUniques,50,Insertion,505,505,0.006800
FewUniques,50,DoubleInsertion,527,503,0.006900
FewUniques,50,MergeSort2,211,572,0.109700
FewUniques,50,MergeSort3,254,384,0.088800
FewUniques,50,HeapBinary,393,420,0.010700
FewUniques,50,HeapTernary,392,316,0.009200
FewUniques,50,Insertion,554,556,0.007500
FewUniques,50,DoubleInsertion,572,549,0.007500
FewUniques,50,MergeSort2,217,572,0.109800
FewUniques,50,MergeSort3,260,384,0.092100
FewUniques,50,HeapBinary,380,414,0.010600
FewUniques,50,HeapTernary,403,322,0.009400
Random,200,Insertion,9855,9859,0.122000
Random,200,DoubleInsertion,9910,9815,0.122900
Random,200,MergeSort2,1287,3088,0.470400
Random,200,MergeSort3,1567,2044,0.371400
Random,200,HeapBinary,2440,2688,0.065700
Random,200,HeapTernary,2433,1952,0.055800
Random,200,Insertion,9801,9807,0.121600
Random,200,DoubleInsertion,9850,9756,0.122300
Random,200,MergeSort2,1276,3088,0.460100
Random,200,MergeSort3,1569,2044,0.386400
Random,200,HeapBinary,2464,2734,0.066700
Random,200,HeapTernary,2410,1926,0.054900
Random,200,Insertion,9819,9822,0.122100
Random,200,DoubleInsertion,9876,9780,0.122500
Random,200,MergeSort2,1273,3088,0.462100
Random,200,MergeSort3,1568,2044,0.420800
Random,200,HeapBinary,2470,2748,0.096100
Random,200,HeapTernary,2429,1946,0.073600
Random,200,Insertion,9655,9658,0.177900
Random,200,DoubleInsertion,9706,9610,0.120800
Random,200,MergeSort2,1286,3088,0.486900
Random,200,MergeSort3,1579,2044,0.369600
Random,200,HeapBinary,2440,2704,0.066100
Random,200,HeapTernary,2408,1918,0.055100
Random,200,Insertion,10314,10318,0.137400
Random,200,DoubleInsertion,10363,10267,0.133100
Random,200,MergeSort2,1276,3088,0.462000
Random,200,MergeSort3,1578,2044,0.373500
Random,200,HeapBinary,2445,2698,0.065900
Random,200,HeapTernary,2416,1938,0.055100
NearlySorted,200,Insertion,680,680,0.009200
NearlySorted,200,DoubleInsertion,775,676,0.009600
NearlySorted,200,MergeSort2,968,3088,0.449300
NearlySorted,200,MergeSort3,1083,2044,0.366000
NearlySorted,200,HeapBinary,2578,2950,0.068300
NearlySorted,200,HeapTernary,2620,2138,0.057600
NearlySorted,200,Insertion,834,834,0.011000
NearlySorted,200,DoubleInsertion,929,830,0.011300
NearlySorted,200,MergeSort2,1054,3088,0.451300
NearlySorted,200,MergeSort3,1134,2044,0.360400
NearlySorted,200,HeapBinary,2574,2958,0.068800
NearlySorted,200,HeapTernary,2624,2134,0.057600
NearlySorted,200,Insertion,1268,1268,0.016400
NearlySorted,200,DoubleInsertion,1361,1262,0.016700
NearlySorted,200,MergeSort2,1005,3088,0.448100
NearlySorted,200,MergeSort3,1131,2044,0.368600
NearlySorted,200,HeapBinary,2570,2930,0.068300
NearlySorted,200,HeapTernary,2608,2126,0.057200
NearlySorted,200,Insertion,542,542,0.007200
NearlySorted,200,DoubleInsertion,638,539,0.007500
NearlySorted,200,MergeSort2,960,3088,0.557700
NearlySorted,200,MergeSort3,1042,2044,0.363600
NearlySorted,200,HeapBinary,2578,2938,0.068200
NearlySorted,200,HeapTernary,2633,2154,0.058000
NearlySorted,200,Insertion,1278,1278,0.016300
NearlySorted,200,DoubleInsertion,1373,1274,0.016800
NearlySorted,200,MergeSort2,1103,3088,0.458700
NearlySorted,200,MergeSort3,1175,2044,0.363900
NearlySorted,200,HeapBinary,2570,2934,0.068400
NearlySorted,200,HeapTernary,2619,2130,0.057600
Sorted,200,Insertion,199,199,0.002600
Sorted,200,DoubleInsertion,299,200,0.002700
Sorted,200,MergeSort2,812,3088,0.449800
Sorted,200,MergeSort3,896,2044,0.361000
Sorted,200,HeapBinary,2587,2976,0.068600
Sorted,200,HeapTernary,2635,2152,0.057400
Sorted,200,Insertion,199,199,0.002600
Sorted,200,DoubleInsertion,299,200,0.002700
Sorted,200,MergeSort2,812,3088,0.450800
Sorted,200,MergeSort3,896,2044,0.361800
Sorted,200,HeapBinary,2587,2976,0.068600
Sorted,200,HeapTernary,2635,2152,0.057400
Sorted,200,Insertion,199,199,0.002600
Sorted,200,DoubleInsertion,299,200,0.002600
Sorted,200,MergeSort2,812,3088,0.447500
Sorted,200,MergeSort3,896,2044,0.362000
Sorted,200,HeapBinary,2587,2976,0.074400
Sorted,200,HeapTernary,2635,2152,0.059400
Sorted,200,Insertion,199,199,0.002600
Sorted,200,DoubleInsertion,299,200,0.002600
Sorted,200,MergeSort2,812,3088,0.447800
Sorted,200,MergeSort3,896,2044,0.363600
Sorted,200,HeapBinary,2587,2976,0.068500
Sorted,200,HeapTernary,2635,2152,0.057400
Sorted,200,Insertion,199,199,0.002600
Sorted,200,DoubleInsertion,299,200,0.002600
Sorted,200,MergeSort2,812,3088,0.449500
Sorted,200,MergeSort3,896,2044,0.366100
Sorted,200,HeapBinary,2587,2976,0.068700
Sorted,200,HeapTernary,2635,2152,0.057400
Reversed,200,Insertion,19900,20099,0.245500
Reversed,200,DoubleInsertion,20000,20000,0.247100
Reversed,200,MergeSort2,732,3088,0.458100
Reversed,200,MergeSort3,1018,2044,0.372900
Reversed,200,HeapBinary,2275,2412,0.058300
Reversed,200,HeapTernary,2306,1780,0.050900
Reversed,200,Insertion,19900,20099,0.253100
Reversed,200,DoubleInsertion,20000,20000,0.247000
Reversed,200,MergeSort2,732,3088,0.508700
Reversed,200,MergeSort3,1018,2044,0.359500
Reversed,200,HeapBinary,2275,2412,0.058300
Reversed,200,HeapTernary,2306,1780,0.050500
Reversed,200,Insertion,19900,20099,0.247900
Reversed,200,DoubleInsertion,20000,20000,0.251900
Reversed,200,MergeSort2,732,3088,0.448700
Reversed,200,MergeSort3,1018,2044,0.363300
Reversed,200,HeapBinary,2275,2412,0.058500
Reversed,200,HeapTernary,2306,1780,0.050300
Reversed,200,Insertion,19900,20099,0.245300
Reversed,200,DoubleInsertion,20000,20000,0.246900
Reversed,200,MergeSort2,732,3088,0.450400
Reversed,200,MergeSort3,1018,2044,0.362000
Reversed,200,HeapBinary,2275,2412,0.058100
Reversed,200,HeapTernary,2306,1780,0.050500
Reversed,200,Insertion,19900,20099,0.245300
Reversed,200,DoubleInsertion,20000,20000,0.247000
Reversed,200,MergeSort2,732,3088,0.449500
Reversed,200,MergeSort3,1018,2044,0.361500
Reversed,200,HeapBinary,2275,2412,0.061000
Reversed,200,HeapTernary,2306,1780,0.050600
FewUniques,200,Insertion,8744,8746,0.108600
FewUniques,200,DoubleInsertion,8807,8710,0.109200
FewUniques,200,MergeSort2,1240,3088,0.818000
FewUniques,200,MergeSort3,1498,2044,0.464600
FewUniques,200,HeapBinary,2146,2226,0.054900
FewUniques,200,HeapTernary,2158,1606,0.047000
FewUniques,200,Insertion,8209,8210,0.102300
FewUniques,200,DoubleInsertion,8273,8174,0.106300
FewUniques,200,MergeSort2,1225,3088,0.494100
FewUniques,200,MergeSort3,1464,2044,0.483300
FewUniques,200,HeapBinary,2181,2242,0.107300
FewUniques,200,HeapTernary,2165,1602,0.106900
FewUniques,200,Insertion,8132,8134,0.214700
FewUniques,200,DoubleInsertion,8189,8092,0.101700
FewUniques,200,MergeSort2,1212,3088,0.462400
FewUniques,200,MergeSort3,1448,2044,0.369100
FewUniques,200,HeapBinary,2267,2380,0.058700
FewUniques,200,HeapTernary,2216,1640,0.054200
FewUniques,200,Insertion,7907,7909,0.098800
FewUniques,200,DoubleInsertion,7975,7878,0.099200
FewUniques,200,MergeSort2,1235,3088,0.458100
FewUniques,200,MergeSort3,1470,2044,0.370200
FewUniques,200,HeapBinary,2141,2212,0.054600
FewUniques,200,HeapTernary,2176,1620,0.047200
FewUniques,200,Insertion,7474,7476,0.093300
FewUniques,200,DoubleInsertion,7527,7429,0.093800
FewUniques,200,MergeSort2,1236,3088,0.461000
FewUniques,200,MergeSort3,1505,2044,0.370500
FewUniques,200,HeapBinary,2191,2286,0.056300
FewUniques,200,HeapTernary,2191,1630,0.047900
Random,800,Insertion,161587,161592,1.976600
Random,800,DoubleInsertion,161798,161404,2.496900
Random,800,MergeSort2,6720,15552,2.248600
Random,800,MergeSort3,8295,9856,1.374700
Random,800,HeapBinary,13026,14072,0.357300
Random,800,HeapTernary,12728,9744,0.275400
Random,800,Insertion,165936,165941,2.039700
Random,800,DoubleInsertion,166139,165745,2.042600
Random,800,MergeSort2,6694,15552,1.893200
Random,800,MergeSort3,8262,9856,1.403400
Random,800,HeapBinary,12984,14010,0.339500
Random,800,HeapTernary,12656,9730,0.282700
Random,800,Insertion,163784,163787,2.006600
Random,800,DoubleInsertion,163997,163600,2.068800
Random,800,MergeSort2,6699,15552,1.902400
Random,800,MergeSort3,8302,9856,1.465900
Random,800,HeapBinary,13020,14114,0.342600
Random,800,HeapTernary,12681,9736,0.278200
Random,800,Insertion,159923,159930,1.974900
Random,800,DoubleInsertion,160108,159715,1.995600
Random,800,MergeSort2,6729,15552,1.888300
Random,800,MergeSort3,8317,9856,1.405500
Random,800,HeapBinary,13003,14030,0.342400
Random,800,HeapTernary,12735,9786,0.281400
Random,800,Insertion,163475,163480,2.132700
Random,800,DoubleInsertion,163693,163299,2.090900
Random,800,MergeSort2,6709,15552,1.865500
Random,800,MergeSort3,8299,9856,1.521200
Random,800,HeapBinary,12988,14058,0.338700
Random,800,HeapTernary,12675,9748,0.288200
NearlySorted,800,Insertion,2765,2765,0.034800
NearlySorted,800,DoubleInsertion,3164,2765,0.036200
NearlySorted,800,MergeSort2,4734,15552,1.865300
NearlySorted,800,MergeSort3,5513,9856,1.373300
NearlySorted,800,HeapBinary,13635,15120,0.345300
NearlySorted,800,HeapTernary,13534,10592,0.285500
NearlySorted,800,Insertion,3594,3594,0.045200
NearlySorted,800,DoubleInsertion,3989,3590,0.046600
NearlySorted,800,MergeSort2,4841,15552,1.862600
NearlySorted,800,MergeSort3,5761,9856,1.370600
NearlySorted,800,HeapBinary,13634,15102,0.352800
NearlySorted,800,HeapTernary,13524,10602,0.285900
NearlySorted,800,Insertion,2874,2874,0.036300
NearlySorted,800,DoubleInsertion,3268,2869,0.038100
NearlySorted,800,MergeSort2,4900,15552,1.872900
NearlySorted,800,MergeSort3,5596,9856,1.445200
NearlySorted,800,HeapBinary,13631,15090,0.353000
NearlySorted,800,HeapTernary,13513,10534,0.282100
NearlySorted,800,Insertion,4274,4274,0.054100
NearlySorted,800,DoubleInsertion,4669,4270,0.055300
NearlySorted,800,MergeSort2,5099,15552,1.894800
NearlySorted,800,MergeSort3,5982,9856,1.353100
NearlySorted,800,HeapBinary,13627,15114,0.345800
NearlySorted,800,HeapTernary,13531,10582,0.283900
NearlySorted,800,Insertion,3040,3040,0.038300
NearlySorted,800,DoubleInsertion,3435,3036,0.039700
NearlySorted,800,MergeSort2,4921,15552,1.832900
NearlySorted,800,MergeSort3,5713,9856,1.360400
NearlySorted,800,HeapBinary,13636,15106,0.346800
NearlySorted,800,HeapTernary,13524,10530,0.282600
Sorted,800,Insertion,799,799,0.010100
Sorted,800,DoubleInsertion,1199,800,0.010600
Sorted,800,MergeSort2,4048,15552,1.821400
Sorted,800,MergeSort3,4702,9856,1.370100
Sorted,800,HeapBinary,13639,15108,0.345700
Sorted,800,HeapTernary,13542,10608,0.283200
Sorted,800,Insertion,799,799,0.010000
Sorted,800,DoubleInsertion,1199,800,0.010300
Sorted,800,MergeSort2,4048,15552,2.098600
Sorted,800,MergeSort3,4702,9856,1.357900
Sorted,800,HeapBinary,13639,15108,0.346600
Sorted,800,HeapTernary,13542,10608,0.284100
Sorted,800,Insertion,799,799,0.010200
Sorted,800,DoubleInsertion,1199,800,0.010700
Sorted,800,MergeSort2,4048,15552,1.905900
Sorted,800,MergeSort3,4702,9856,1.333800
Sorted,800,HeapBinary,13639,15108,0.347300
Sorted,800,HeapTernary,13542,10608,0.284800
Sorted,800,Insertion,799,799,0.010300
Sorted,800,DoubleInsertion,1199,800,0.010700
Sorted,800,MergeSort2,4048,15552,1.832000
Sorted,800,MergeSort3,4702,9856,1.354700
Sorted,800,HeapBinary,13639,15108,0.348200
Sorted,800,HeapTernary,13542,10608,0.283300
Sorted,800,Insertion,799,799,0.010200
Sorted,800,DoubleInsertion,1199,800,0.010600
Sorted,800,MergeSort2,4048,15552,1.818600
Sorted,800,MergeSort3,4702,9856,1.357800
Sorted,800,HeapBinary,13639,15108,0.350200
Sorted,800,HeapTernary,13542,10608,0.282400
Reversed,800,Insertion,319600,320399,3.970200
Reversed,800,DoubleInsertion,320000,320000,3.947900
Reversed,800,MergeSort2,3728,15552,1.860500
Reversed,800,MergeSort3,5068,9856,1.379500
Reversed,800,HeapBinary,12293,12884,0.305600
Reversed,800,HeapTernary,12385,9160,0.257700
Reversed,800,Insertion,319600,320399,4.072000
Reversed,800,DoubleInsertion,320000,320000,3.990500
Reversed,800,MergeSort2,3728,15552,1.829800
Reversed,800,MergeSort3,5068,9856,1.354400
Reversed,800,HeapBinary,12293,12884,0.309300
Reversed,800,HeapTernary,12385,9160,0.261500
Reversed,800,Insertion,319600,320399,4.238700
Reversed,800,DoubleInsertion,320000,320000,3.943400
Reversed,800,MergeSort2,3728,15552,1.834100
Reversed,800,MergeSort3,5068,9856,1.370500
Reversed,800,HeapBinary,12293,12884,0.309000
Reversed,800,HeapTernary,12385,9160,0.318400
Reversed,800,Insertion,319600,320399,4.074000
Reversed,800,DoubleInsertion,320000,320000,3.952600
Reversed,800,MergeSort2,3728,15552,1.978400
Reversed,800,MergeSort3,5068,9856,1.488300
Reversed,800,HeapBinary,12293,12884,0.304900
Reversed,800,HeapTernary,12385,9160,0.256600
Reversed,800,Insertion,319600,320399,3.992200
Reversed,800,DoubleInsertion,320000,320000,3.935000
Reversed,800,MergeSort2,3728,15552,2.000500
Reversed,800,MergeSort3,5068,9856,1.486100
Reversed,800,HeapBinary,12293,12884,0.304700
Reversed,800,HeapTernary,12385,9160,0.256200
FewUniques,800,Insertion,131185,131186,1.613500
FewUniques,800,DoubleInsertion,131449,131051,1.616100
FewUniques,800,MergeSort2,6360,15552,2.019700
FewUniques,800,MergeSort3,7814,9856,1.522800
FewUniques,800,HeapBinary,11167,11438,0.278300
FewUniques,800,HeapTernary,10921,7928,0.261200
FewUniques,800,Insertion,125953,125953,1.826300
FewUniques,800,DoubleInsertion,126205,125806,1.560200
FewUniques,800,MergeSort2,6349,15552,1.918400
FewUniques,800,MergeSort3,7766,9856,1.397800
FewUniques,800,HeapBinary,10979,11250,0.272100
FewUniques,800,HeapTernary,10742,7734,0.224000
FewUniques,800,Insertion,125715,125717,1.537200
FewUniques,800,DoubleInsertion,125945,125548,1.548500
FewUniques,800,MergeSort2,6352,15552,1.866900
FewUniques,800,MergeSort3,7787,9856,1.394600
FewUniques,800,HeapBinary,11157,11490,0.276200
FewUniques,800,HeapTernary,10859,7864,0.226200
FewUniques,800,Insertion,125293,125294,2.099500
FewUniques,800,DoubleInsertion,125524,125125,1.562700
FewUniques,800,MergeSort2,6378,15552,1.883000
FewUniques,800,MergeSort3,7799,9856,1.396200
FewUniques,800,HeapBinary,11212,11540,0.278500
FewUniques,800,HeapTernary,10760,7774,0.223200
FewUniques,800,Insertion,129044,129045,1.583700
FewUniques,800,DoubleInsertion,129281,128883,1.597200
FewUniques,800,MergeSort2,6336,15552,1.875700
FewUniques,800,MergeSort3,7748,9856,1.386800
FewUniques,800,HeapBinary,10853,11084,0.267200
FewUniques,800,HeapTernary,10610,7626,0.221600
Random,2000,Insertion,983448,983457,12.112800
Random,2000,DoubleInsertion,983943,982951,12.459800
Random,2000,MergeSort2,19376,43904,5.152400
Random,2000,MergeSort3,23918,28964,4.312500
Random,2000,HeapBinary,37729,40394,0.970300
Random,2000,HeapTernary,36778,27738,0.803100
Random,2000,Insertion,1003710,1003720,12.968300
Random,2000,DoubleInsertion,1004207,1003218,14.351700
Random,2000,MergeSort2,19464,43904,5.230900
Random,2000,MergeSort3,24050,28964,4.562600
Random,2000,HeapBinary,37779,40432,0.972400
Random,2000,HeapTernary,36808,27720,0.726700
Random,2000,Insertion,987452,987464,12.297900
Random,2000,DoubleInsertion,987959,986972,12.474600
Random,2000,MergeSort2,19391,43904,5.175600
Random,2000,MergeSort3,24043,28964,3.902100
Random,2000,HeapBinary,37741,40398,0.974000
Random,2000,HeapTernary,36781,27706,0.808000
Random,2000,Insertion,997077,997082,12.984900
Random,2000,DoubleInsertion,997589,996594,12.562900
Random,2000,MergeSort2,19442,43904,4.828300
Random,2000,MergeSort3,24000,28964,4.031700
Random,2000,HeapBinary,37688,40256,0.937600
Random,2000,HeapTernary,36868,27764,0.736800
Random,2000,Insertion,992427,992434,12.113100
Random,2000,DoubleInsertion,992929,991937,12.292600
Random,2000,MergeSort2,19441,43904,5.107200
Random,2000,MergeSort3,24102,28964,4.220300
Random,2000,HeapBinary,37743,40348,0.972500
Random,2000,HeapTernary,36858,27766,0.796100
NearlySorted,2000,Insertion,10722,10722,0.133900
NearlySorted,2000,DoubleInsertion,11716,10717,0.139500
NearlySorted,2000,MergeSort2,13219,43904,5.075900
NearlySorted,2000,MergeSort3,15411,28964,4.585400
NearlySorted,2000,HeapBinary,39175,42634,1.011300
NearlySorted,2000,HeapTernary,39026,29918,0.752200
NearlySorted,2000,Insertion,6162,6162,0.078300
NearlySorted,2000,DoubleInsertion,7157,6158,0.081800
NearlySorted,2000,MergeSort2,12862,43904,4.905400
NearlySorted,2000,MergeSort3,14771,28964,4.062800
NearlySorted,2000,HeapBinary,39232,42762,0.947800
NearlySorted,2000,HeapTernary,39041,29894,0.803300
NearlySorted,2000,Insertion,7840,7840,0.098100
NearlySorted,2000,DoubleInsertion,8836,7837,0.104800
NearlySorted,2000,MergeSort2,13010,43904,4.970900
NearlySorted,2000,MergeSort3,14472,28964,4.066300
NearlySorted,2000,HeapBinary,39279,42850,0.964100
NearlySorted,2000,HeapTernary,39045,29962,0.763600
