scenario,n,algorithm,comps,assigns,timems
Reversed,2000,HeapBinary,35964,37416,1.033100
Reversed,2000,HeapTernary,35752,25952,0.694000
Reversed,2000,Insertion,1999000,2000999,24.454500
Reversed,2000,DoubleInsertion,2000000,2000000,25.811300
Reversed,2000,MergeSort2,10864,43904,4.514900
Reversed,2000,MergeSort3,14624,28964,3.672700
Reversed,2000,HeapBinary,35964,37416,0.861100
Reversed,2000,HeapTernary,35752,25952,0.723500
FewUniques,2000,Insertion,796512,796512,9.807100
FewUniques,2000,DoubleInsertion,797128,796129,9.929000
FewUniques,2000,MergeSort2,18189,43904,4.559400
FewUniques,2000,MergeSort3,22322,28964,3.750900
FewUniques,2000,HeapBinary,31850,32514,0.776100
FewUniques,2000,HeapTernary,31137,22236,0.638800
FewUniques,2000,Insertion,774416,774417,10.227900
FewUniques,2000,DoubleInsertion,775000,774002,10.488500
FewUniques,2000,MergeSort2,17999,43904,5.988400
FewUniques,2000,MergeSort3,22073,28964,4.552700
FewUniques,2000,HeapBinary,31506,32160,0.739100
FewUniques,2000,HeapTernary,31324,22436,0.645300
FewUniques,2000,Insertion,797355,797356,9.912200
FewUniques,2000,DoubleInsertion,797958,796960,9.829200
FewUniques,2000,MergeSort2,18315,43904,4.732400
FewUniques,2000,MergeSort3,22422,28964,3.862000
FewUniques,2000,HeapBinary,31779,32480,0.778800
FewUniques,2000,HeapTernary,31171,22306,0.654500
FewUniques,2000,Insertion,803247,803248,9.842700
FewUniques,2000,DoubleInsertion,803823,802825,10.508300
FewUniques,2000,MergeSort2,18215,43904,4.708000
FewUniques,2000,MergeSort3,22380,28964,3.836300
FewUniques,2000,HeapBinary,31547,32194,0.771000
FewUniques,2000,HeapTernary,31019,22186,0.638700
FewUniques,2000,Insertion,806833,806833,9.928400
FewUniques,2000,DoubleInsertion,807440,806441,10.278000
FewUniques,2000,MergeSort2,18113,43904,5.115800
FewUniques,2000,MergeSort3,22412,28964,4.302200
FewUniques,2000,HeapBinary,31515,32202,0.701000
FewUniques,2000,HeapTernary,30716,21950,0.608700
